Epoch,Train Loss,Validation Loss
1,71.15017119089762,31.59518969686408
2,27.360332870483397,23.19494423113371
3,21.715029424031574,20.08777723814312
4,20.021795565287274,19.28625764344868
5,19.424715410868327,18.472468376159668
6,18.53928164800008,17.566871517582943
7,17.959869448343913,17.769912920500104
8,17.60583459854126,16.98849206221731
9,17.006916300455728,16.89143123124775
10,17.279308834075927,17.16503700457121
11,16.3054799079895,16.285954902046605
12,16.339539184570313,16.54983844255146
13,15.932115688323975,15.147572768361945
14,15.621571318308513,18.16146634754382
15,15.52166316350301,17.262676163723594
16,14.807154159545899,14.96634450711702
17,14.555209999084473,14.584112343035246
18,15.489700940450033,16.05867594166806
19,15.189972756703694,13.899116942757054
20,13.584274857838949,13.545934902994256
